PGIns2 / PGUni2,PGIns_Class
"SP Jain Centre of Mgmt, Dubai",TIER_1
SRI DEVI  SUMAN UK VISHWAVI,UNKNOWN
SRI KRISHNADEVARAYA UNIVERSITY,UNKNOWN
SRI PADMAVATI MAHILA VISVAVI,UNKNOWN
SRI VENKATESHWARA UNIVERSITY,UNKNOWN
"SRM , Chennai",TIER_3
SRM UNIVERSITY,TIER_3
"SRM, CHENNAI",TIER_3
"SRM, UNIVERSITY",TIER_3
ST  JOSEPH’S BOYS HIGH SCHOOL,UNKNOWN
"SUNRISE UNIVERSITY, ALWAR",UNKNOWN
SURYA COLLEGE OF BUSINESS MGT,UNKNOWN
SURYADATTA GROUP OF INSTITUT,UNKNOWN
SWAMI R T MARATHWADA UNI,UNKNOWN
SWAMI VIVEKANAND SUBHARTI UNI,UNKNOWN
"SWAMI VIVEKANAND UNIV, MP",UNKNOWN
"Sydenham, Mumbai",TIER_2
SYMBIOSIS CENTRE FOR DIST LEAR,UNKNOWN
SYMBIOSIS INTERNATIONAL UNI,TIER_2
SYMBIOSIS SCHOOL OF BANK MGT,TIER_2
TAMILNADU AGRICULTURAL UNI,UNKNOWN
TAMILNADU OPEN UNIVERSITY,UNKNOWN
TECHNO GLOBAL UNIVERSITY,UNKNOWN
TENTATIVE GRADE,UNKNOWN
THAKUR INST OF MGT STUD & RES,UNKNOWN
THE IIS UNIVERSITY,UNKNOWN
THIRUVALLUVAR UNIVERSITY,UNKNOWN
TILAK MAHARASHTRA UNI,UNKNOWN
TILAK MAHARASHTRA VIDYAPEETH,UNKNOWN
TRIPURA UNIVERSITY,UNKNOWN
TRIVENI HIGH SCHOOL,UNKNOWN
unique institution of India,UNKNOWN
UNITEDWORLD SCHOOL OF BUSINESS,UNKNOWN
UNIV OF WALES INST CARDIFF,UNKNOWN
UNIVERSITY OF CALICUT,UNKNOWN
University of Kolkata,UNKNOWN
University of Osmania,TIER_3
UP RAJA TAN OPEN UNIV,UNKNOWN
UTKAL UNIVERSITY,TIER_3
"UTKAL UNIVERSITY, BHUBANESWAR",TIER_3
UTTARAKHAND TECHNICAL UNI,UNKNOWN
UTTARPRADESH TECHNICAL UNI,UNKNOWN
V B S PURVANCHAL UNIVERSITY,UNKNOWN
"VAMNICOM, Pune",TIER_3
VEER KUNWAR SINGH UNIVERSITY,UNKNOWN
VEER NARMAD SOUTH GUJARAT UNI,UNKNOWN
VELLORE INST OF TECHNOLOGY,UNKNOWN
VELTECH UNIVERSITY,UNKNOWN
VIDYASAGAR UNIVERSITY,UNKNOWN
VIKRAM UNIVERSITY,UNKNOWN
"VIKRAM UNIVERSITY, UJJAIN",UNKNOWN
"VINAYAKA MISSIONS UNI, SALEM",UNKNOWN
VINAYAKA MISSIONS UNIVERSITY,UNKNOWN
"VINOBA BHAVE UNI, HAZARIBAGH",UNKNOWN
Vishwa Vishwani Institute of Systems and Managemen,UNKNOWN
VISVA BHARTI UNIVERSITY,UNKNOWN
Visvesvaraya Technological University,UNKNOWN
VISVESWARAIAH TECH UNI,UNKNOWN
"VIT UNIVERSITY, VELLORE",UNKNOWN
"VIT, Mumbai",UNKNOWN
VTU,UNKNOWN
Welingkar Institute of Management Development and,TIER_2
"WELINGKAR, MUMBAI",TIER_2
WEST BENGAL STATE COUN OF TECH,UNKNOWN
WEST BENGAL STATE UNIVERSITY,UNKNOWN
WEST BENGAL UNIVERSITY OF TECH,UNKNOWN
WEST COAST INST OF MGMT & TECH,UNKNOWN
XAVIERS INTERNATIONAL UNI,UNKNOWN
"XIM, BHUBANESHWAR",TIER_1
"XISS, RANCHI",TIER_3
YASHWANTRAO CHAVAN MH OPEN UNI,UNKNOWN
YEARS OF WORKG EXPERIENCE,UNKNOWN
