PGIns2 / PGUni2,PGIns_Class
DELHI INST OF MGT STUDIES,UNKNOWN
DELHI UNIVERSITY,UNKNOWN
DEOGIRI COLLEGE,UNKNOWN
DEVI AHILYA UNIVERSITY,TIER_3
Devi Ahilya Vishwavvidhya Indore,TIER_3
DHARMSINH DESAI UNIVERSITY,UNKNOWN
DIBRUGARH UNIVERSITY,TIER_3
DIT SCHOOL OF BUSINESS,UNKNOWN
DM CAMPUS,UNKNOWN
DR AMBEDKAR BUSINESS SCHOOL,UNKNOWN
DR B R AMBEDKAR OPEN UNI,UNKNOWN
DR BABASAHEB AMBEDKAR MARATHWA,UNKNOWN
DR BHIMRAO AMBEDKAR VISHVA,UNKNOWN
DR C.V RAMAN UNIVERSITY,UNKNOWN
DR D Y PATIL UNIVERSITY,UNKNOWN
DR HARISINGH GAUR UNIVERSITY,UNKNOWN
DR M G R EDU & RES INST UNI,UNKNOWN
DR PANJABARAO DESHMUKH KRISHI,UNKNOWN
DR RAM MANOHAR LOHIA AVADH UNI,TIER_1
DR. APJ ABDUL KALAM TECH UNIV,UNKNOWN
Dr. V. N. Bedekar Institute of Management Studies,UNKNOWN
edfghfgfd,UNKNOWN
"EIILM UNI, SIKKIM",UNKNOWN
"EIILM, KOLKATA",UNKNOWN
EKAMRA COLLEGE,UNKNOWN
ELECTED AS STUDENT COORDATOR OF SOFT SKILL DEVELOPMENT PROGRAMME FOR SSR COLLEGE,UNKNOWN
"EMPI BUSINEESS SCH, DELHI",TIER_3
ETG AND FANCE,UNKNOWN
–ETG AND FANCE,UNKNOWN
FAIRLEIGH DICKINSON UNIVERSITY,UNKNOWN
FAKIA MOHAN UNIVERSITY,UNKNOWN
GANDHI INSTITUTE OF TECH MGT,UNKNOWN
"GANPAT UNIVERSITY, GUJARAT",UNKNOWN
GARDEN CITY COLLEGE,UNKNOWN
"GAUHATI UNIVERSITY, ASSAM",UNKNOWN
"GAUTAM BUDDHA UNIVERSITY, UP",UNKNOWN
GGSIP UNIVERSITY,UNKNOWN
GH PATEL POST GRADUATE INSTITUTE OF BUSINESS MANAGEMENT,UNKNOWN
GITAM UNIVERSITY,TIER_3
GLA INST OF TECH  MGT,UNKNOWN
GLA INST OF TECH & MGT,UNKNOWN
Global Institute of management,UNKNOWN
GLOBSYN BUSS SCHOOL,UNKNOWN
"Goa Inst of Mgmt (GIM), Goa",TIER_2
"GOA, UNIVERSITY",UNKNOWN
GOKHALE COLLEGE,TIER_3
GOVT  COLLEGE,UNKNOWN
GRAPHIC ERA UNIVERSITY,UNKNOWN
"GSBA, Noida",UNKNOWN
GUJARAT,UNKNOWN
GUJARAT TECH UNIVERSITY,UNKNOWN
GUJARAT UNIVERSITY,UNKNOWN
GUJRAT TCHNOLOGICAL UNIVERSITY,UNKNOWN
GULBARGA UNIVERSITY,UNKNOWN
GURU GHASIADAS UNIVERSITY,UNKNOWN
GURU JHAMB UNIV OF SCI & TECH,UNKNOWN
GURU JHAMBHESHWAR UNIVERSITY,UNKNOWN
GURU NANAK DEV UNIVERSITY,UNKNOWN
GURU NANAK INST OF MGT,UNKNOWN
GURU NANAK INST OF MGT STUDIES,UNKNOWN
GYAN VIHAR UNIVERSITY,UNKNOWN
"Haryana  Business School,GJU s & T,Hissar",UNKNOWN
Haryana School of Business Guru Jambheshwar Univer,UNKNOWN
HEMCHANDRA NORTH GUJARAT UNI,UNKNOWN
"HEMWATI NANDAN UNIV, SRINAGAR",UNKNOWN
HIGH SCHOOL,UNKNOWN
HIGHER SECONDARY SCHOOL,UNKNOWN
HIMACHAL PRADESH UNIVERSITY,UNKNOWN
"HIMALAYAN UNIVERSITY, AP",UNKNOWN
HITECH COLLEGE,UNKNOWN
HITKARNI HIGH SCHOOL,UNKNOWN
Holy Mary institute of science and technology,UNKNOWN
HYDERABAD UNIVERSITY,UNKNOWN
IASE UNIVERSITY,UNKNOWN
IBCS,UNKNOWN
"IBMR, Chinchwad",UNKNOWN
ICAI,UNKNOWN
ICCMRT,UNKNOWN
"ICFAI BUSINESS SCH, AHMEDABAD",TIER_2
"ICFAI BUSINESS SCH, BANGALORE",TIER_2
"ICFAI BUSINESS SCH, CHANDIGARH",TIER_3
"ICFAI BUSINESS SCH, DEHRADUN",TIER_3
"ICFAI Business Sch, Gurgaon",TIER_2
"ICFAI BUSINESS SCH, HYDERABAD",TIER_2
